source,name,data
temp_json.dta,DataSet,"{'incidentie_per_100000': '17,0', 'bovengrens': '4604', 'week': '22', 'diagnose': 'Verdenking COVID-19', 'jaar': '2020', 'geschat_aantal': '2970', 'ondergrens': '2021'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '12,5', 'bovengrens': '3394', 'week': '23', 'diagnose': 'Verdenking COVID-19', 'jaar': '2020', 'geschat_aantal': '2122', 'ondergrens': '1394'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '13,1', 'bovengrens': '3583', 'week': '24', 'diagnose': 'Verdenking COVID-19', 'jaar': '2020', 'geschat_aantal': '2308', 'ondergrens': '1514'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '13,4', 'bovengrens': '3999', 'week': '25', 'diagnose': 'Verdenking COVID-19', 'jaar': '2020', 'geschat_aantal': '2455', 'ondergrens': '1629'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '10,6', 'bovengrens': '3395', 'week': '26', 'diagnose': 'Verdenking COVID-19', 'jaar': '2020', 'geschat_aantal': '2080', 'ondergrens': '1313'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '9,2', 'bovengrens': '2879', 'week': '27', 'diagnose': 'Verdenking COVID-19', 'jaar': '2020', 'geschat_aantal': '1714', 'ondergrens': '1054'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '8,3', 'bovengrens': '2963', 'week': '28', 'diagnose': 'Verdenking COVID-19', 'jaar': '2020', 'geschat_aantal': '1611', 'ondergrens': '939'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '9,4', 'bovengrens': '3221', 'week': '29', 'diagnose': 'Verdenking COVID-19', 'jaar': '2020', 'geschat_aantal': '1815', 'ondergrens': '1089'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '10,2', 'bovengrens': '3223', 'week': '30', 'diagnose': 'Verdenking COVID-19', 'jaar': '2020', 'geschat_aantal': '1967', 'ondergrens': '1228'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '10,1', 'bovengrens': '3101', 'week': '31', 'diagnose': 'Verdenking COVID-19', 'jaar': '2020', 'geschat_aantal': '1905', 'ondergrens': '1210'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '7,4', 'bovengrens': '2441', 'week': '32', 'diagnose': 'Verdenking COVID-19', 'jaar': '2020', 'geschat_aantal': '1284', 'ondergrens': '721'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '6,9', 'bovengrens': '2120', 'week': '33', 'diagnose': 'Verdenking COVID-19', 'jaar': '2020', 'geschat_aantal': '1145', 'ondergrens': '634'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '6,8', 'bovengrens': '2613', 'week': '34', 'diagnose': 'Verdenking COVID-19', 'jaar': '2020', 'geschat_aantal': '1362', 'ondergrens': '749'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '9,9', 'bovengrens': '3203', 'week': '35', 'diagnose': 'Verdenking COVID-19', 'jaar': '2020', 'geschat_aantal': '1920', 'ondergrens': '1180'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '13,2', 'bovengrens': '3920', 'week': '36', 'diagnose': 'Verdenking COVID-19', 'jaar': '2020', 'geschat_aantal': '2468', 'ondergrens': '1586'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '19,6', 'bovengrens': '5694', 'week': '37', 'diagnose': 'Verdenking COVID-19', 'jaar': '2020', 'geschat_aantal': '3914', 'ondergrens': '2793'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '21,8', 'bovengrens': '6035', 'week': '38', 'diagnose': 'Verdenking COVID-19', 'jaar': '2020', 'geschat_aantal': '4225', 'ondergrens': '3085'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '18,8', 'bovengrens': '5049', 'week': '39', 'diagnose': 'Verdenking COVID-19', 'jaar': '2020', 'geschat_aantal': '3557', 'ondergrens': '2553'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '22,3', 'bovengrens': '6155', 'week': '40', 'diagnose': 'Verdenking COVID-19', 'jaar': '2020', 'geschat_aantal': '4435', 'ondergrens': '3264'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '22,5', 'bovengrens': '6029', 'week': '41', 'diagnose': 'Verdenking COVID-19', 'jaar': '2020', 'geschat_aantal': '4292', 'ondergrens': '3152'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '25,1', 'bovengrens': '6749', 'week': '42', 'diagnose': 'Verdenking COVID-19', 'jaar': '2020', 'geschat_aantal': '4786', 'ondergrens': '3573'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '23,7', 'bovengrens': '6034', 'week': '43', 'diagnose': 'Verdenking COVID-19', 'jaar': '2020', 'geschat_aantal': '4256', 'ondergrens': '3083'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '24,6', 'bovengrens': '6542', 'week': '44', 'diagnose': 'Verdenking COVID-19', 'jaar': '2020', 'geschat_aantal': '4659', 'ondergrens': '3442'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '18,0', 'bovengrens': '4683', 'week': '45', 'diagnose': 'Verdenking COVID-19', 'jaar': '2020', 'geschat_aantal': '3171', 'ondergrens': '2200'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '14,9', 'bovengrens': '4327', 'week': '46', 'diagnose': 'Verdenking COVID-19', 'jaar': '2020', 'geschat_aantal': '2787', 'ondergrens': '1855'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '16,6', 'bovengrens': '4519', 'week': '47', 'diagnose': 'Verdenking COVID-19', 'jaar': '2020', 'geschat_aantal': '2868', 'ondergrens': '1918'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '13,7', 'bovengrens': '4220', 'week': '48', 'diagnose': 'Verdenking COVID-19', 'jaar': '2020', 'geschat_aantal': '2737', 'ondergrens': '1838'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '14,0', 'bovengrens': '3894', 'week': '49', 'diagnose': 'Verdenking COVID-19', 'jaar': '2020', 'geschat_aantal': '2536', 'ondergrens': '1711'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '17,8', 'bovengrens': '4780', 'week': '50', 'diagnose': 'Verdenking COVID-19', 'jaar': '2020', 'geschat_aantal': '3302', 'ondergrens': '2308'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '14,6', 'bovengrens': '4284', 'week': '51', 'diagnose': 'Verdenking COVID-19', 'jaar': '2020', 'geschat_aantal': '2782', 'ondergrens': '1871'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '12,4', 'bovengrens': '3672', 'week': '52', 'diagnose': 'Verdenking COVID-19', 'jaar': '2020', 'geschat_aantal': '2298', 'ondergrens': '1486'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '8,3', 'bovengrens': '2759', 'week': '53', 'diagnose': 'Verdenking COVID-19', 'jaar': '2020', 'geschat_aantal': '1604', 'ondergrens': '954'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '20,8', 'bovengrens': '5657', 'week': '1', 'diagnose': 'Verdenking COVID-19', 'jaar': '2021', 'geschat_aantal': '3840', 'ondergrens': '2711'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '16,2', 'bovengrens': '4384', 'week': '2', 'diagnose': 'Verdenking COVID-19', 'jaar': '2021', 'geschat_aantal': '2962', 'ondergrens': '2027'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '13,4', 'bovengrens': '3898', 'week': '3', 'diagnose': 'Verdenking COVID-19', 'jaar': '2021', 'geschat_aantal': '2495', 'ondergrens': '1655'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '12,2', 'bovengrens': '3845', 'week': '4', 'diagnose': 'Verdenking COVID-19', 'jaar': '2021', 'geschat_aantal': '2374', 'ondergrens': '1543'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '11,8', 'bovengrens': '3325', 'week': '5', 'diagnose': 'Verdenking COVID-19', 'jaar': '2021', 'geschat_aantal': '2090', 'ondergrens': '1347'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '8,9', 'bovengrens': '2789', 'week': '6', 'diagnose': 'Verdenking COVID-19', 'jaar': '2021', 'geschat_aantal': '1662', 'ondergrens': '1023'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '9,0', 'bovengrens': '2808', 'week': '7', 'diagnose': 'Verdenking COVID-19', 'jaar': '2021', 'geschat_aantal': '1655', 'ondergrens': '1016'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '9,5', 'bovengrens': '3039', 'week': '8', 'diagnose': 'Verdenking COVID-19', 'jaar': '2021', 'geschat_aantal': '1692', 'ondergrens': '1019'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '12,2', 'bovengrens': '3483', 'week': '9', 'diagnose': 'Verdenking COVID-19', 'jaar': '2021', 'geschat_aantal': '2236', 'ondergrens': '1485'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '11,7', 'bovengrens': '3847', 'week': '10', 'diagnose': 'Verdenking COVID-19', 'jaar': '2021', 'geschat_aantal': '2326', 'ondergrens': '1512'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '11,9', 'bovengrens': '3241', 'week': '11', 'diagnose': 'Verdenking COVID-19', 'jaar': '2021', 'geschat_aantal': '2080', 'ondergrens': '1381'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '11,7', 'bovengrens': '3269', 'week': '12', 'diagnose': 'Verdenking COVID-19', 'jaar': '2021', 'geschat_aantal': '2076', 'ondergrens': '1356'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '10,0', 'bovengrens': '2685', 'week': '13', 'diagnose': 'Verdenking COVID-19', 'jaar': '2021', 'geschat_aantal': '1665', 'ondergrens': '1061'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '7,7', 'bovengrens': '2758', 'week': '14', 'diagnose': 'Verdenking COVID-19', 'jaar': '2021', 'geschat_aantal': '1464', 'ondergrens': '858'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '9,9', 'bovengrens': '2860', 'week': '15', 'diagnose': 'Verdenking COVID-19', 'jaar': '2021', 'geschat_aantal': '1781', 'ondergrens': '1136'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '9,2', 'bovengrens': '2674', 'week': '16', 'diagnose': 'Verdenking COVID-19', 'jaar': '2021', 'geschat_aantal': '1602', 'ondergrens': '991'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '6,9', 'bovengrens': '2065', 'week': '17', 'diagnose': 'Verdenking COVID-19', 'jaar': '2021', 'geschat_aantal': '1160', 'ondergrens': '675'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '8,1', 'bovengrens': '2590', 'week': '18', 'diagnose': 'Verdenking COVID-19', 'jaar': '2021', 'geschat_aantal': '1526', 'ondergrens': '925'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '4,8', 'bovengrens': '1769', 'week': '19', 'diagnose': 'Verdenking COVID-19', 'jaar': '2021', 'geschat_aantal': '924', 'ondergrens': '502'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '5,7', 'bovengrens': '2085', 'week': '20', 'diagnose': 'Verdenking COVID-19', 'jaar': '2021', 'geschat_aantal': '1102', 'ondergrens': '618'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '2,9', 'bovengrens': '1564', 'week': '21', 'diagnose': 'Verdenking COVID-19', 'jaar': '2021', 'geschat_aantal': '609', 'ondergrens': '265'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '3,1', 'bovengrens': '1399', 'week': '22', 'diagnose': 'Verdenking COVID-19', 'jaar': '2021', 'geschat_aantal': '555', 'ondergrens': '243'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '3,3', 'bovengrens': '1426', 'week': '23', 'diagnose': 'Verdenking COVID-19', 'jaar': '2021', 'geschat_aantal': '565', 'ondergrens': '240'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '3,3', 'bovengrens': '1128', 'week': '24', 'diagnose': 'Verdenking COVID-19', 'jaar': '2021', 'geschat_aantal': '465', 'ondergrens': '199'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '2,8', 'bovengrens': '1203', 'week': '25', 'diagnose': 'Verdenking COVID-19', 'jaar': '2021', 'geschat_aantal': '448', 'ondergrens': '189'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '3,0', 'bovengrens': '1405', 'week': '26', 'diagnose': 'Verdenking COVID-19', 'jaar': '2021', 'geschat_aantal': '588', 'ondergrens': '258'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '3,0', 'bovengrens': '1760', 'week': '27', 'diagnose': 'Verdenking COVID-19', 'jaar': '2021', 'geschat_aantal': '637', 'ondergrens': '273'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '5,6', 'bovengrens': '1926', 'week': '28', 'diagnose': 'Verdenking COVID-19', 'jaar': '2021', 'geschat_aantal': '989', 'ondergrens': '557'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '3,1', 'bovengrens': '1301', 'week': '29', 'diagnose': 'Verdenking COVID-19', 'jaar': '2021', 'geschat_aantal': '556', 'ondergrens': '248'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '3,6', 'bovengrens': '1306', 'week': '30', 'diagnose': 'Verdenking COVID-19', 'jaar': '2021', 'geschat_aantal': '522', 'ondergrens': '233'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '3,0', 'bovengrens': '1352', 'week': '31', 'diagnose': 'Verdenking COVID-19', 'jaar': '2021', 'geschat_aantal': '503', 'ondergrens': '208'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '2,8', 'bovengrens': '1392', 'week': '32', 'diagnose': 'Verdenking COVID-19', 'jaar': '2021', 'geschat_aantal': '555', 'ondergrens': '264'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '2,5', 'bovengrens': '1202', 'week': '33', 'diagnose': 'Verdenking COVID-19', 'jaar': '2021', 'geschat_aantal': '443', 'ondergrens': '178'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '2,2', 'bovengrens': '1169', 'week': '34', 'diagnose': 'Verdenking COVID-19', 'jaar': '2021', 'geschat_aantal': '459', 'ondergrens': '191'}"
